
Each sample represents 0.02 seconds.
Total run time: 7.75999999999992 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00      7.76      0.00      0.00     "roxygenize"
 99.48      7.72      0.77      0.06     "<Anonymous>"
 99.48      7.72      1.03      0.08     "do.call"
 93.04      7.22      0.26      0.02     "Reduce"
 91.75      7.12      0.00      0.00     "mapply"
 90.98      7.06      0.26      0.02     ".Call"
 90.72      7.04      0.00      0.00     "Map"
 90.72      7.04      0.00      0.00     "parse.files"
 89.69      6.96      0.00      0.00     "parse.refs"
 84.28      6.54     34.28      2.66     "append"
 84.02      6.52      0.00      0.00     "parse.ref"
 84.02      6.52      0.00      0.00     "parse.ref.list"
 70.88      5.50      0.26      0.02     "parse.ref.srcref"
 61.60      4.78      1.80      0.14     "preorder.walk.expression"
 61.60      4.78      0.00      0.00     "preorder.flatten.expression"
 61.34      4.76      4.12      0.32     "tryCatch"
 61.34      4.76      1.29      0.10     "tryCatchList"
 61.34      4.76      5.41      0.42     "doTryCatch"
 61.34      4.76      2.84      0.22     "tryCatchOne"
 61.08      4.74      0.26      0.02     "try"
 36.08      2.80      0.52      0.04     "proc"
 15.21      1.18      0.00      0.00     "getSrcLines"
 14.43      1.12      5.15      0.40     "structure"
 13.14      1.02      0.00      0.00     "parse.ref.preref"
 12.63      0.98      0.26      0.02     "open"
 12.37      0.96      0.00      0.00     "open.srcfile"
  7.99      0.62      0.00      0.00     "simpleError"
  7.99      0.62      0.00      0.00     "zip"
  7.73      0.60      0.00      0.00     "zip.list"
  6.96      0.54      0.00      0.00     "f"
  5.41      0.42      0.00      0.00     "prerefs"
  4.90      0.38      0.52      0.04     "nchar"
  4.90      0.38      0.00      0.00     "parse.element"
  4.90      0.38      4.90      0.38     "readLines"
  4.64      0.36      0.26      0.02     "stopifnot"
  4.64      0.36      4.12      0.32     "gsub"
  4.64      0.36      0.00      0.00     "srcref"
  4.38      0.34      0.00      0.00     "length.line"
  4.12      0.32      1.29      0.10     "match"
  4.12      0.32      0.52      0.04     "sapply"
  3.87      0.30      3.61      0.28     "regexpr"
  3.87      0.30      0.00      0.00     "cat"
  3.61      0.28      0.00      0.00     "maybe.call"
  3.61      0.28      0.00      0.00     "parse.expression"
  3.09      0.24      0.26      0.02     "is.factor"
  2.84      0.22      0.26      0.02     "unique"
  2.84      0.22      2.84      0.22     "inherits"
  2.84      0.22      0.00      0.00     "!="
  2.84      0.22      0.00      0.00     "Ops.POSIXt"
  2.58      0.20      0.00      0.00     "check_tzones"
  2.58      0.20      0.00      0.00     "%in%"
  2.58      0.20      0.52      0.04     "sprintf"
  2.32      0.18      0.00      0.00     "is.null.string"
  2.32      0.18      0.00      0.00     "key.values"
  2.06      0.16      0.00      0.00     "parse.name"
  2.06      0.16      2.06      0.16     "file.info"
  1.80      0.14      0.00      0.00     "Rd.expression"
  1.80      0.14      0.26      0.02     "close"
  1.80      0.14      0.00      0.00     "continue"
  1.80      0.14      0.52      0.04     "lapply"
  1.80      0.14      0.00      0.00     "strcar"
  1.80      0.14      0.00      0.00     "word.ref"
  1.80      0.14      0.00      0.00     "Reduce.paste"
  1.80      0.14      0.26      0.02     "trim"
  1.80      0.14      0.00      0.00     "strcdr"
  1.80      0.14      1.03      0.08     "file"
  1.55      0.12      0.52      0.04     "as.list"
  1.55      0.12      0.26      0.02     "close.srcfile"
  1.55      0.12      0.00      0.00     "split.default"
  1.55      0.12      0.00      0.00     "split"
  1.55      0.12      0.00      0.00     "Filter"
  1.29      0.10      0.00      0.00     "["
  1.29      0.10      0.52      0.04     "substr"
  1.29      0.10      0.52      0.04     "[.data.frame"
  1.29      0.10      1.03      0.08     "car"
  1.29      0.10      0.77      0.06     "unlist"
  1.29      0.10      0.26      0.02     "parse.formals"
  1.29      0.10      1.03      0.08     "parse"
  1.29      0.10      0.00      0.00     "factor"
  1.03      0.08      1.03      0.08     "grep"
  1.03      0.08      0.00      0.00     "cdr"
  1.03      0.08      0.26      0.02     "rm"
  1.03      0.08      1.03      0.08     "list"
  1.03      0.08      0.00      0.00     "FUN"
  1.03      0.08      0.52      0.04     "sort"
  1.03      0.08      0.77      0.06     "unique.default"
  1.03      0.08      0.52      0.04     "is.nil"
  0.77      0.06      0.00      0.00     "array"
  0.77      0.06      0.00      0.00     "parse.call"
  0.77      0.06      0.77      0.06     "NextMethod"
